Language,Performance,Usability,Error tolerance,AI compatibility,TIOBE,Ecosystem,Supported Paradigms,Group,Year Introduced,Image
C,98,55,30,85,92,95,55,Systems,1972,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/c/c-original.svg
C++,97,45,40,78,90,98,90,Systems,1985,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/cplusplus/cplusplus-original.svg
Java,88,75,70,92,95,96,75,JVM,1995,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/java/java-original.svg
C#,85,82,78,95,88,92,80,Microsoft/.NET,2000,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/csharp/csharp-original.svg
Kotlin,82,85,85,90,70,82,78,JVM,2011,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/kotlin/kotlin-original.svg
Fortran,95,50,60,65,50,55,35,,1957,
COBOL,60,45,65,50,55,50,25,Specialty,1959,https://cdn.simpleicons.org/cobol
Rust,92,60,95,85,75,78,82,Systems,2010,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/rust/rust-original.svg
R,55,78,65,88,68,88,70,Scientific,1993,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/r/r-original.svg
JavaScript,70,85,50,97,94,99,88,Web,1995,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/javascript/javascript-original.svg
TypeScript,72,83,82,96,87,95,88,Web,2012,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/typescript/typescript-original.svg
Prolog,50,40,75,60,20,30,90,,1972,
Ada,70,55,95,55,25,35,60,,1980,
Whitespace,5,1,1,5,1,1,5,Specialty,2003,
Brainfuck,1,1,1,3,1,2,2,,1993,
OpenCL,96,35,50,55,25,45,30,Specialty,2009,https://cdn.simpleicons.org/opencl
MATLAB,60,85,75,82,65,85,60,Scientific,1984,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/matlab/matlab-original.svg
LaTeX,15,65,50,95,70,90,20,Scientific,1984,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/latex/latex-original.svg
SQL,65,80,75,96,90,98,25,,1974,
Haskell,70,45,92,65,28,45,95,Functional,1990,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/haskell/haskell-original.svg
BASIC,40,85,45,70,20,25,25,,1964,
Ruby,55,85,70,88,45,80,75,Scripting,1995,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/ruby/ruby-original.svg
J,60,20,70,25,5,10,85,,1990,
Bash,35,65,40,92,75,88,35,Scripting,1989,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/bash/bash-original.svg
Assembly,100,15,10,40,35,40,15,Specialty,1949,
Pascal,60,70,70,60,25,30,40,,1970,
Swift,80,75,85,82,55,75,70,,2014,
Clojure,65,50,85,55,15,35,90,Functional,2007,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/clojure/clojure-original.svg
Zig,95,65,75,70,20,30,55,Systems,2016,https://cdn.simpleicons.org/zig
Python,45,95,75,100,100,100,95,Scientific,1991,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/python/python-original.svg
HLSL,92,50,60,60,15,45,25,,2002,
GLSL,90,45,55,60,20,50,25,,2004,
Delphi,65,75,70,60,22,35,55,,1995,
Go,88,88,82,95,85,90,55,,2009,
Dart,72,82,78,85,45,70,60,,2011,
Lua,60,85,60,82,35,65,55,Scripting,1993,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/lua/lua-original.svg
Julia,90,80,70,80,40,65,80,,2012,
Scala,78,55,88,75,35,70,92,JVM,2004,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/scala/scala-original.svg
F#,75,60,90,65,20,40,85,Microsoft/.NET,2005,https://cdn.simpleicons.org/fsharp
Lisp,65,45,75,55,15,35,95,Functional,1958,
Scheme,60,50,75,50,10,25,90,Functional,1975,
Erlang,70,55,95,45,12,30,75,,1986,
Elixir,72,75,92,65,20,50,75,,2011,
OCaml,78,55,90,55,18,35,80,,1996,
Nim,82,75,75,70,10,20,70,,2008,
Crystal,75,80,70,65,8,18,65,,2014,
Objective-C,70,45,60,55,30,55,50,,1984,
Visual Basic .NET,55,85,65,75,35,55,40,Microsoft/.NET,2001,https://cdn.simpleicons.org/dotnet
Groovy,58,75,65,75,18,50,70,JVM,2003,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/groovy/groovy-original.svg
PowerShell,45,75,60,90,50,75,40,Microsoft/.NET,2006,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/powershell/powershell-original.svg
Solidity,55,55,45,70,30,60,40,,2014,
VHDL,85,35,75,35,20,35,30,,1980,
Verilog,88,40,65,40,25,40,25,,1984,
Smalltalk,55,70,75,35,8,15,85,,1972,
ABAP,50,60,70,55,30,45,40,,1983,
Apex,52,70,65,75,18,50,45,,2006,
Tcl,45,65,55,45,10,20,35,,1988,
Awk,40,60,45,70,15,25,30,,1977,
Perl,55,45,50,55,35,65,75,Scripting,1987,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/perl/perl-original.svg
Hack,65,70,80,60,8,15,60,,2014,
Elm,60,75,95,40,5,10,55,,2012,
Mercury,70,35,98,20,2,5,70,,1995,
Forth,75,25,35,15,3,5,45,,1970,
Racket,58,65,75,40,8,15,92,,2010,
HTML,20,95,85,92,80,98,15,Web,1993,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/html5/html5-original.svg
CSS,15,88,80,90,78,97,20,Web,1996,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/css3/css3-original.svg
